date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:05:00	8889/8889	---M--	200	added ('OK')	text/css	etag:%2222b9-511feb7f1dd40%22	https://mallicklab.stanford.edu/templates/jm-exclusive-furniture/css/template_responsive.css	flattened/mallick/mallicklab.stanford.edu/templates/jm-exclusive-furniture/css/template_responsive.css	(from https://mallicklab.stanford.edu/)
13:05:01	5869/5869	---M--	200	added ('OK')	text/css	etag:%2216ed-511feb7f1dd40%22	https://mallicklab.stanford.edu/templates/jm-exclusive-furniture/css/style1.css	flattened/mallick/mallicklab.stanford.edu/templates/jm-exclusive-furniture/css/style1.css	(from https://mallicklab.stanford.edu/)
13:05:02	8348/8348	---M--	200	added ('OK')	text/css	etag:%22209c-511feea7d5140%22	https://mallicklab.stanford.edu/templates/jm-exclusive-furniture/css/animated-buttons.css	flattened/mallick/mallicklab.stanford.edu/templates/jm-exclusive-furniture/css/animated-buttons.css	(from https://mallicklab.stanford.edu/)
13:05:03	0/0	---M--	200	added ('OK')	text/css	etag:%220-511feb7f1dd40%22	https://mallicklab.stanford.edu/templates/jm-exclusive-furniture/css/custom.css	flattened/mallick/mallicklab.stanford.edu/templates/jm-exclusive-furniture/css/custom.css	(from https://mallicklab.stanford.edu/)
13:05:04	2365/2365	---M--	200	added ('OK')	text/css	etag:%2293d-5135395621640%22	https://mallicklab.stanford.edu/templates/jm-exclusive-furniture/cache/custom_css_0fdc36c413c66f3ae80170d0f91c9a62.css	flattened/mallick/mallicklab.stanford.edu/templates/jm-exclusive-furniture/cache/custom_css_0fdc36c413c66f3ae80170d0f91c9a62.css	(from https://mallicklab.stanford.edu/)
13:05:05	4798/4798	---M--	200	added ('OK')	text/css	etag:%2212be-512b078930b80%22	https://mallicklab.stanford.edu/media/djmediatools/css/tabber_2ee7ca899ab06e6d90a731f0e70d9b72.css	flattened/mallick/mallicklab.stanford.edu/media/djmediatools/css/tabber_2ee7ca899ab06e6d90a731f0e70d9b72.css	(from https://mallicklab.stanford.edu/)
13:05:06	3814/3814	---M--	200	added ('OK')	text/css	etag:%22ee6-4fb1dbd190700%22	https://mallicklab.stanford.edu/templates/jm-exclusive-furniture/css/djmenu.css	flattened/mallick/mallicklab.stanford.edu/templates/jm-exclusive-furniture/css/djmenu.css	(from https://mallicklab.stanford.edu/)
13:05:07	3832/3832	---M--	200	added ('OK')	text/css	etag:%22ef8-4fb1dbd190700%22	https://mallicklab.stanford.edu/templates/jm-exclusive-furniture/css/djmenu_fx.css	flattened/mallick/mallicklab.stanford.edu/templates/jm-exclusive-furniture/css/djmenu_fx.css	(from https://mallicklab.stanford.edu/)
13:05:08	96606/96606	---M--	200	added ('OK')	application/javascript	etag:%221795e-5861c801ace80%22	https://mallicklab.stanford.edu/media/jui/js/jquery.min.js?812fcc30e103faf7dfd952dbf8702b35	flattened/mallick/mallicklab.stanford.edu/media/jui/js/jquery.min43ef.js	(from https://mallicklab.stanford.edu/)
13:05:09	21/21	---M--	200	added ('OK')	application/javascript	etag:%2215-5861c801ace80%22	https://mallicklab.stanford.edu/media/jui/js/jquery-noconflict.js?812fcc30e103faf7dfd952dbf8702b35	flattened/mallick/mallicklab.stanford.edu/media/jui/js/jquery-noconflict43ef.js	(from https://mallicklab.stanford.edu/)
13:05:10	10056/10056	---M--	200	added ('OK')	application/javascript	etag:%222748-5861c801ace80%22	https://mallicklab.stanford.edu/media/jui/js/jquery-migrate.min.js?812fcc30e103faf7dfd952dbf8702b35	flattened/mallick/mallicklab.stanford.edu/media/jui/js/jquery-migrate.min43ef.js	(from https://mallicklab.stanford.edu/)
13:05:11	491/491	---M--	200	added ('OK')	application/javascript	etag:%221eb-5861c801ace80%22	https://mallicklab.stanford.edu/media/system/js/caption.js?812fcc30e103faf7dfd952dbf8702b35	flattened/mallick/mallicklab.stanford.edu/media/system/js/caption43ef.js	(from https://mallicklab.stanford.edu/)
13:05:12	83893/83893	---M--	200	added ('OK')	application/javascript	etag:%22147b5-5861c801ace80%22	https://mallicklab.stanford.edu/media/system/js/mootools-core.js?812fcc30e103faf7dfd952dbf8702b35	flattened/mallick/mallicklab.stanford.edu/media/system/js/mootools-core43ef.js	(from https://mallicklab.stanford.edu/)
13:05:13	8808/8808	---M--	200	added ('OK')	application/javascript	etag:%222268-5861c801ace80%22	https://mallicklab.stanford.edu/media/system/js/core.js?812fcc30e103faf7dfd952dbf8702b35	flattened/mallick/mallicklab.stanford.edu/media/system/js/core43ef.js	(from https://mallicklab.stanford.edu/)
13:05:15	236825/236825	---M--	200	added ('OK')	application/javascript	etag:%2239d19-5861c801ace80%22	https://mallicklab.stanford.edu/media/system/js/mootools-more.js?812fcc30e103faf7dfd952dbf8702b35	flattened/mallick/mallicklab.stanford.edu/media/system/js/mootools-more43ef.js	(from https://mallicklab.stanford.edu/)
13:05:15	10127/10127	---M--	200	added ('OK')	application/javascript	etag:%22278f-5861c801ace80%22	https://mallicklab.stanford.edu/media/system/js/modal.js?812fcc30e103faf7dfd952dbf8702b35	flattened/mallick/mallicklab.stanford.edu/media/system/js/modal43ef.js	(from https://mallicklab.stanford.edu/)
13:05:16	29126/29126	---M--	200	added ('OK')	application/javascript	etag:%2271c6-5861c801ace80%22	https://mallicklab.stanford.edu/media/jui/js/bootstrap.min.js?812fcc30e103faf7dfd952dbf8702b35	flattened/mallick/mallicklab.stanford.edu/media/jui/js/bootstrap.min43ef.js	(from https://mallicklab.stanford.edu/)
13:05:17	1668/1668	---M--	200	added ('OK')	application/javascript	etag:%22684-4fb1dbe2baf80%22	https://mallicklab.stanford.edu/templates/jm-exclusive-furniture/js/styleswitcher.js	flattened/mallick/mallicklab.stanford.edu/templates/jm-exclusive-furniture/js/styleswitcher.js	(from https://mallicklab.stanford.edu/)
13:05:18	3913/3913	---M--	200	added ('OK')	application/javascript	etag:%22f49-4fb1dbe2baf80%22	https://mallicklab.stanford.edu/templates/jm-exclusive-furniture/js/scripts.js	flattened/mallick/mallicklab.stanford.edu/templates/jm-exclusive-furniture/js/scripts.js	(from https://mallicklab.stanford.edu/)
13:05:19	4603/4603	---M--	200	added ('OK')	application/javascript	etag:%2211fb-5124d9e0d3240%22	https://mallicklab.stanford.edu/components/com_djmediatools/assets/js/powertools-1.2.0.js	flattened/mallick/mallicklab.stanford.edu/components/com_djmediatools/assets/js/powertools-1.2.0.js	(from https://mallicklab.stanford.edu/)
13:05:20	6962/6962	---M--	200	added ('OK')	application/javascript	etag:%221b32-5124d9e68bfc0%22	https://mallicklab.stanford.edu/components/com_djmediatools/layouts/slideshow/js/slideshow.js	flattened/mallick/mallicklab.stanford.edu/components/com_djmediatools/layouts/slideshow/js/slideshow.js	(from https://mallicklab.stanford.edu/)
13:05:21	2290/2290	---M--	200	added ('OK')	application/javascript	etag:%228f2-5124d9e68bfc0%22	https://mallicklab.stanford.edu/components/com_djmediatools/layouts/tabber/js/tabber.js	flattened/mallick/mallicklab.stanford.edu/components/com_djmediatools/layouts/tabber/js/tabber.js	(from https://mallicklab.stanford.edu/)
13:05:22	466/466	---M--	200	added ('OK')	application/javascript	etag:%221d2-4d7aee9584480%22	https://mallicklab.stanford.edu/modules/mod_djmenu/assets/js/dropline-helper.js	flattened/mallick/mallicklab.stanford.edu/modules/mod_djmenu/assets/js/dropline-helper.js	(from https://mallicklab.stanford.edu/)
13:05:23	1062/1062	---M--	200	added ('OK')	application/javascript	etag:%22426-4d7aee9584480%22	https://mallicklab.stanford.edu/modules/mod_djmenu/assets/js/djselect.js	flattened/mallick/mallicklab.stanford.edu/modules/mod_djmenu/assets/js/djselect.js	(from https://mallicklab.stanford.edu/)
13:05:24	3415/3415	---M--	200	added ('OK')	application/javascript	etag:%22d57-4d7aee9584480%22	https://mallicklab.stanford.edu/modules/mod_djmenu/assets/js/djmenu.js	flattened/mallick/mallicklab.stanford.edu/modules/mod_djmenu/assets/js/djmenu.js	(from https://mallicklab.stanford.edu/)
13:05:25	273/273	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2004%20Jun%202026%2019:05:29%20GMT	https://mallicklab.stanford.edu/templates/jm-exclusive-furniture	flattened/mallick/mallicklab.stanford.edu/templates/jm-exclusive-furniture	(from https://mallicklab.stanford.edu/)
13:05:26	857/857	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%22359-4d9656b3e1e40%22	https://mallicklab.stanford.edu/images/favicon.ico	flattened/mallick/mallicklab.stanford.edu/images/favicon.ico	(from https://mallicklab.stanford.edu/)
13:05:27	0/0	---M--	200	added ('OK')	text/html	date:Thu,%2004%20Jun%202026%2019:05:31%20GMT	https://mallicklab.stanford.edu/templates/jm-exclusive-furniture/	flattened/mallick/mallicklab.stanford.edu/templates/jm-exclusive-furniture/index.html	(from https://mallicklab.stanford.edu/)
13:05:27	2044/2044	---M--	200	added ('OK')	image/png	etag:%227fc-4d7ec7be98d80%22	https://mallicklab.stanford.edu/images/modules/logo.png	flattened/mallick/mallicklab.stanford.edu/images/modules/logo.png	(from https://mallicklab.stanford.edu/)
13:05:29	44457/44457	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20Jun%202026%2019:05:33%20GMT	https://mallicklab.stanford.edu/peeps	flattened/mallick/mallicklab.stanford.edu/peeps.html	(from https://mallicklab.stanford.edu/)
13:05:31	25426/25426	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20Jun%202026%2019:05:34%20GMT	https://mallicklab.stanford.edu/research	flattened/mallick/mallicklab.stanford.edu/research.html	(from https://mallicklab.stanford.edu/)
13:05:32	20221/20221	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20Jun%202026%2019:05:36%20GMT	https://mallicklab.stanford.edu/faq	flattened/mallick/mallicklab.stanford.edu/faq.html	(from https://mallicklab.stanford.edu/)
13:05:33	105502/105502	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20Jun%202026%2019:05:37%20GMT	https://mallicklab.stanford.edu/pubs	flattened/mallick/mallicklab.stanford.edu/pubs.html	(from https://mallicklab.stanford.edu/)
13:05:35	17401/17401	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20Jun%202026%2019:05:39%20GMT	https://mallicklab.stanford.edu/resources	flattened/mallick/mallicklab.stanford.edu/resources.html	(from https://mallicklab.stanford.edu/)
13:05:36	9164/9164	---M--	200	added ('OK')	image/png	etag:%2223cc-4d60208fe3a00%22	https://mallicklab.stanford.edu/images/modules/slider/prev.png	flattened/mallick/mallicklab.stanford.edu/images/modules/slider/prev.png	(from https://mallicklab.stanford.edu/)
13:05:36	17498/17498	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20Jun%202026%2019:05:40%20GMT	https://mallicklab.stanford.edu/funding	flattened/mallick/mallicklab.stanford.edu/funding.html	(from https://mallicklab.stanford.edu/)
13:05:37	182/182	---M--	200	added ('OK')	image/png	etag:%22b6-4d60208fe3a00%22	https://mallicklab.stanford.edu/images/modules/slider/next.png	flattened/mallick/mallicklab.stanford.edu/images/modules/slider/next.png	(from https://mallicklab.stanford.edu/)
13:05:38	182/182	---M--	200	added ('OK')	image/png	etag:%22b6-4d60208fe3a00%22	https://mallicklab.stanford.edu/images/modules/slider/play.png	flattened/mallick/mallicklab.stanford.edu/images/modules/slider/play.png	(from https://mallicklab.stanford.edu/)
13:05:39	938/938	---M--	200	added ('OK')	image/png	etag:%223aa-4d60208fe3a00%22	https://mallicklab.stanford.edu/images/modules/slider/pause.png	flattened/mallick/mallicklab.stanford.edu/images/modules/slider/pause.png	(from https://mallicklab.stanford.edu/)
13:05:40	8511/8511	---M--	200	added ('OK')	image/png	etag:%22213f-63dd5d0a3fb80%22	https://mallicklab.stanford.edu/media/djmediatools/cache/5-front/70x40-crop-80-meaningful_ai.png	flattened/mallick/mallicklab.stanford.edu/media/djmediatools/cache/5-front/70x40-crop-80-meaningful_ai.png	(from https://mallicklab.stanford.edu/)
13:05:41	6030/6030	---M--	200	added ('OK')	image/png	etag:%22178e-5124da6df7f40%22	https://mallicklab.stanford.edu/media/djmediatools/cache/images/figs/banners/70x40-crop-80-futzedpixels.png	flattened/mallick/mallicklab.stanford.edu/media/djmediatools/cache/images/figs/banners/70x40-crop-80-futzedpixels.png	(from https://mallicklab.stanford.edu/)
13:05:42	2296/2296	---M--	200	added ('OK')	image/jpeg	etag:%228f8-5124da6df7f40%22	https://mallicklab.stanford.edu/media/djmediatools/cache/images/figs/banners/70x40-crop-80-networkyness_compressed.jpg	flattened/mallick/mallicklab.stanford.edu/media/djmediatools/cache/images/figs/banners/70x40-crop-80-networkyness_compressed.jpg	(from https://mallicklab.stanford.edu/)
13:05:43	1832/1832	---M--	200	added ('OK')	image/jpeg	etag:%22728-5124da6df7f40%22	https://mallicklab.stanford.edu/media/djmediatools/cache/images/figs/banners/70x40-crop-80-bloodsamples_compressed.jpg	flattened/mallick/mallicklab.stanford.edu/media/djmediatools/cache/images/figs/banners/70x40-crop-80-bloodsamples_compressed.jpg	(from https://mallicklab.stanford.edu/)
13:05:44	1153/1153	---M--	200	added ('OK')	image/jpeg	etag:%22481-5124da6df7f40%22	https://mallicklab.stanford.edu/media/djmediatools/cache/images/figs/banners/70x40-crop-80-flippedandstuff_compressed.jpg	flattened/mallick/mallicklab.stanford.edu/media/djmediatools/cache/images/figs/banners/70x40-crop-80-flippedandstuff_compressed.jpg	(from https://mallicklab.stanford.edu/)
13:05:45	1566/1566	---M--	200	added ('OK')	image/jpeg	etag:%2261e-5124da6df7f40%22	https://mallicklab.stanford.edu/media/djmediatools/cache/images/figs/70x40-crop-80-psuedo2d_gel.jpg	flattened/mallick/mallicklab.stanford.edu/media/djmediatools/cache/images/figs/70x40-crop-80-psuedo2d_gel.jpg	(from https://mallicklab.stanford.edu/)
13:05:46	1721/1721	---M--	200	added ('OK')	image/jpeg	etag:%226b9-5124da6df7f40%22	https://mallicklab.stanford.edu/media/djmediatools/cache/images/figs/banners/70x40-crop-80-proteowizard_psdeps_onpurple_compressed.jpg	flattened/mallick/mallicklab.stanford.edu/media/djmediatools/cache/images/figs/banners/70x40-crop-80-proteowizard_psdeps_onpurple_compressed.jpg	(from https://mallicklab.stanford.edu/)
13:05:48	31500/31500	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20Jun%202026%2019:05:52%20GMT	https://mallicklab.stanford.edu/index.php	flattened/mallick/mallicklab.stanford.edu/index-2.html	(from https://mallicklab.stanford.edu/)
13:05:49	238/238	---M--	200	added ('OK')	image/png	etag:%22ee-4fb1dbd378b80%22	https://mallicklab.stanford.edu/templates/jm-exclusive-furniture/images/smaller.png	flattened/mallick/mallicklab.stanford.edu/templates/jm-exclusive-furniture/images/smaller.png	(from https://mallicklab.stanford.edu/)
13:05:50	273/273	---M--	200	added ('OK')	image/png	etag:%22111-4fb1dbd749480%22	https://mallicklab.stanford.edu/templates/jm-exclusive-furniture/images/default.png	flattened/mallick/mallicklab.stanford.edu/templates/jm-exclusive-furniture/images/default.png	(from https://mallicklab.stanford.edu/)
13:05:51	314/314	---M--	200	added ('OK')	image/png	etag:%2213a-4fb1dbd561000%22	https://mallicklab.stanford.edu/templates/jm-exclusive-furniture/images/larger.png	flattened/mallick/mallicklab.stanford.edu/templates/jm-exclusive-furniture/images/larger.png	(from https://mallicklab.stanford.edu/)
13:05:52	35196/35196	---M--	200	added ('OK')	image/png	etag:%22897c-4d97782954980%22	https://mallicklab.stanford.edu/images/figs/Canary.png	flattened/mallick/mallicklab.stanford.edu/images/figs/Canary.png	(from https://mallicklab.stanford.edu/)
13:05:53	2079/2079	---M--	200	added ('OK')	image/png	etag:%2281f-4d60208fe3a00%22	https://mallicklab.stanford.edu/images/modules/home.png	flattened/mallick/mallicklab.stanford.edu/images/modules/home.png	(from https://mallicklab.stanford.edu/)
13:05:54	2070/2070	---M--	200	added ('OK')	image/png	etag:%22816-4d60208fe3a00%22	https://mallicklab.stanford.edu/images/modules/email.png	flattened/mallick/mallicklab.stanford.edu/images/modules/email.png	(from https://mallicklab.stanford.edu/)
13:05:55	2150/2150	---M--	200	added ('OK')	image/png	etag:%22866-4d60208fe3a00%22	https://mallicklab.stanford.edu/images/modules/direction.png	flattened/mallick/mallicklab.stanford.edu/images/modules/direction.png	(from https://mallicklab.stanford.edu/)
13:05:57	928/928	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2004%20Jun%202026%2019:06:00%20GMT	https://mallicklab.stanford.edu/http:/giving.stanford.edu/goto/mallickgift	flattened/mallick/mallicklab.stanford.edu/http_/giving.stanford.edu/goto/mallickgift	(from https://mallicklab.stanford.edu/)
13:05:57	1050/1050	---M--	200	added ('OK')	image/png	etag:%2241a-5861c801ace80%22	https://mallicklab.stanford.edu/media/system/images/modal/closebox.png	flattened/mallick/mallicklab.stanford.edu/media/system/images/modal/closebox.png	(from https://mallicklab.stanford.edu/media/system/css/modal.css?812fcc30e103faf7dfd952dbf8702b35)
13:05:58	1569/1569	---M--	200	added ('OK')	image/gif	etag:%22621-5861c801ace80%22	https://mallicklab.stanford.edu/media/system/images/modal/spinner.gif	flattened/mallick/mallicklab.stanford.edu/media/system/images/modal/spinner.gif	(from https://mallicklab.stanford.edu/media/system/css/modal.css?812fcc30e103faf7dfd952dbf8702b35)
13:05:59	97/97	---M--	200	added ('OK')	image/png	etag:%2261-5861c801ace80%22	https://mallicklab.stanford.edu/media/system/images/modal/bg_n.png	flattened/mallick/mallicklab.stanford.edu/media/system/images/modal/bg_n.png	(from https://mallicklab.stanford.edu/media/system/css/modal.css?812fcc30e103faf7dfd952dbf8702b35)
13:06:00	340/340	---M--	200	added ('OK')	image/png	etag:%22154-5861c801ace80%22	https://mallicklab.stanford.edu/media/system/images/modal/bg_ne.png	flattened/mallick/mallicklab.stanford.edu/media/system/images/modal/bg_ne.png	(from https://mallicklab.stanford.edu/media/system/css/modal.css?812fcc30e103faf7dfd952dbf8702b35)
13:06:01	92/92	---M--	200	added ('OK')	image/png	etag:%225c-5861c801ace80%22	https://mallicklab.stanford.edu/media/system/images/modal/bg_e.png	flattened/mallick/mallicklab.stanford.edu/media/system/images/modal/bg_e.png	(from https://mallicklab.stanford.edu/media/system/css/modal.css?812fcc30e103faf7dfd952dbf8702b35)
13:06:02	336/336	---M--	200	added ('OK')	image/png	etag:%22150-5861c801ace80%22	https://mallicklab.stanford.edu/media/system/images/modal/bg_se.png	flattened/mallick/mallicklab.stanford.edu/media/system/images/modal/bg_se.png	(from https://mallicklab.stanford.edu/media/system/css/modal.css?812fcc30e103faf7dfd952dbf8702b35)
13:06:03	96/96	---M--	200	added ('OK')	image/png	etag:%2260-5861c801ace80%22	https://mallicklab.stanford.edu/media/system/images/modal/bg_s.png	flattened/mallick/mallicklab.stanford.edu/media/system/images/modal/bg_s.png	(from https://mallicklab.stanford.edu/media/system/css/modal.css?812fcc30e103faf7dfd952dbf8702b35)
13:06:04	302/302	---M--	200	added ('OK')	image/png	etag:%2212e-5861c801ace80%22	https://mallicklab.stanford.edu/media/system/images/modal/bg_sw.png	flattened/mallick/mallicklab.stanford.edu/media/system/images/modal/bg_sw.png	(from https://mallicklab.stanford.edu/media/system/css/modal.css?812fcc30e103faf7dfd952dbf8702b35)
13:06:05	87/87	---M--	200	added ('OK')	image/png	etag:%2257-5861c801ace80%22	https://mallicklab.stanford.edu/media/system/images/modal/bg_w.png	flattened/mallick/mallicklab.stanford.edu/media/system/images/modal/bg_w.png	(from https://mallicklab.stanford.edu/media/system/css/modal.css?812fcc30e103faf7dfd952dbf8702b35)
13:06:06	327/327	---M--	200	added ('OK')	image/png	etag:%22147-5861c801ace80%22	https://mallicklab.stanford.edu/media/system/images/modal/bg_nw.png	flattened/mallick/mallicklab.stanford.edu/media/system/images/modal/bg_nw.png	(from https://mallicklab.stanford.edu/media/system/css/modal.css?812fcc30e103faf7dfd952dbf8702b35)
13:06:07	15765/15765	---M--	200	added ('OK')	image/png	etag:%223d95-4fb1dbd561000%22	https://mallicklab.stanford.edu/templates/jm-exclusive-furniture/images/glyphicons-halflings.png	flattened/mallick/mallicklab.stanford.edu/templates/jm-exclusive-furniture/images/glyphicons-halflings.png	(from https://mallicklab.stanford.edu/templates/jm-exclusive-furniture/css/bootstrap.css)
13:06:08	8777/8777	---M--	200	added ('OK')	image/png	etag:%222249-4fb1dbd561000%22	https://mallicklab.stanford.edu/templates/jm-exclusive-furniture/images/glyphicons-halflings-white.png	flattened/mallick/mallicklab.stanford.edu/templates/jm-exclusive-furniture/images/glyphicons-halflings-white.png	(from https://mallicklab.stanford.edu/templates/jm-exclusive-furniture/css/bootstrap.css)
13:06:09	9650/9650	---M--	200	added ('OK')	image/png	etag:%2225b2-4fb1dbd378b80%22	https://mallicklab.stanford.edu/templates/jm-exclusive-furniture/images/readmore2.png	flattened/mallick/mallicklab.stanford.edu/templates/jm-exclusive-furniture/images/readmore2.png	(from https://mallicklab.stanford.edu/templates/jm-exclusive-furniture/css/extensions.css)
13:06:10	1305/1305	---M--	200	added ('OK')	image/png	etag:%22519-4fb1dbd561000%22	https://mallicklab.stanford.edu/templates/jm-exclusive-furniture/images/dj-tab-indicator-left.png	flattened/mallick/mallicklab.stanford.edu/templates/jm-exclusive-furniture/images/dj-tab-indicator-left.png	(from https://mallicklab.stanford.edu/templates/jm-exclusive-furniture/css/extensions.css)
13:06:11	9164/9164	---M--	200	added ('OK')	image/png	etag:%2223cc-4fb1dbd561000%22	https://mallicklab.stanford.edu/templates/jm-exclusive-furniture/images/prev.png	flattened/mallick/mallicklab.stanford.edu/templates/jm-exclusive-furniture/images/prev.png	(from https://mallicklab.stanford.edu/templates/jm-exclusive-furniture/css/extensions.css)
13:06:12	182/182	---M--	200	added ('OK')	image/png	etag:%22b6-4fb1dbd561000%22	https://mallicklab.stanford.edu/templates/jm-exclusive-furniture/images/next.png	flattened/mallick/mallicklab.stanford.edu/templates/jm-exclusive-furniture/images/next.png	(from https://mallicklab.stanford.edu/templates/jm-exclusive-furniture/css/extensions.css)
13:06:13	14384/14384	---M--	200	added ('OK')	image/png	etag:%223830-4fb1dbd749480%22	https://mallicklab.stanford.edu/templates/jm-exclusive-furniture/images/bg.png	flattened/mallick/mallicklab.stanford.edu/templates/jm-exclusive-furniture/images/bg.png	(from https://mallicklab.stanford.edu/templates/jm-exclusive-furniture/css/template.css)
13:06:15	928/928	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2004%20Jun%202026%2019:06:17%20GMT	https://mallicklab.stanford.edu/templates/jm-exclusive-furniture/css/ie/PIE.htc	flattened/mallick/mallicklab.stanford.edu/templates/jm-exclusive-furniture/css/ie/PIE.htc	(from https://mallicklab.stanford.edu/templates/jm-exclusive-furniture/css/template.css)
13:06:15	1187/1187	---M--	200	added ('OK')	image/png	etag:%224a3-4fb1dbd378b80%22	https://mallicklab.stanford.edu/templates/jm-exclusive-furniture/images/top2-bg.png	flattened/mallick/mallicklab.stanford.edu/templates/jm-exclusive-furniture/images/top2-bg.png	(from https://mallicklab.stanford.edu/templates/jm-exclusive-furniture/css/template.css)
13:06:16	559/559	---M--	200	added ('OK')	image/png	etag:%2222f-4fb1dbd749480%22	https://mallicklab.stanford.edu/templates/jm-exclusive-furniture/images/backtotop.png	flattened/mallick/mallicklab.stanford.edu/templates/jm-exclusive-furniture/images/backtotop.png	(from https://mallicklab.stanford.edu/templates/jm-exclusive-furniture/css/template.css)
13:06:17	1658/1658	---M--	200	added ('OK')	image/png	etag:%2267a-4fb1dbdb19d80%22	https://mallicklab.stanford.edu/templates/jm-exclusive-furniture/images/icons_white/badge.png	flattened/mallick/mallicklab.stanford.edu/templates/jm-exclusive-furniture/images/icons_white/badge.png	(from https://mallicklab.stanford.edu/templates/jm-exclusive-furniture/css/template.css)
13:06:18	1795/1795	---M--	200	added ('OK')	image/png	etag:%22703-4fb1dbdb19d80%22	https://mallicklab.stanford.edu/templates/jm-exclusive-furniture/images/icons_white/calendar.png	flattened/mallick/mallicklab.stanford.edu/templates/jm-exclusive-furniture/images/icons_white/calendar.png	(from https://mallicklab.stanford.edu/templates/jm-exclusive-furniture/css/template.css)
13:06:19	1644/1644	---M--	200	added ('OK')	image/png	etag:%2266c-4fb1dbd931900%22	https://mallicklab.stanford.edu/templates/jm-exclusive-furniture/images/icons_white/chat.png	flattened/mallick/mallicklab.stanford.edu/templates/jm-exclusive-furniture/images/icons_white/chat.png	(from https://mallicklab.stanford.edu/templates/jm-exclusive-furniture/css/template.css)
13:06:20	1579/1579	---M--	200	added ('OK')	image/png	etag:%2262b-4fb1dbd931900%22	https://mallicklab.stanford.edu/templates/jm-exclusive-furniture/images/icons_white/check.png	flattened/mallick/mallicklab.stanford.edu/templates/jm-exclusive-furniture/images/icons_white/check.png	(from https://mallicklab.stanford.edu/templates/jm-exclusive-furniture/css/template.css)
